height,era,current_compact_size,estimated_with_transparent,delta_bytes,delta_percent,tx_count,transparent_inputs,transparent_outputs
419962,sapling,83,229,146,175.9036144578313,1,1,2
420300,sapling,83,1401,1318,1587.9518072289156,2,1,37
422151,sapling,83,920,837,1008.433734939759,7,8,14
423983,sapling,83,5450,5367,6466.265060240964,12,116,18
425817,sapling,83,20419,20336,24501.20481927711,27,270,280
427249,sapling,83,10380,10297,12406.024096385541,6,77,214
427552,sapling,83,1200,1117,1345.7831325301206,10,10,20
428734,sapling,83,336,253,304.81927710843377,2,2,4
430984,sapling,83,337,254,306.0240963855422,2,2,4
432911,sapling,83,338,255,307.2289156626506,2,2,4
433109,sapling,246,23584,23338,9486.9918699187,16,517,66
434842,sapling,83,9702,9619,11589.156626506023,11,64,211
437840,sapling,83,1077,994,1197.5903614457832,6,12,14
439782,sapling,83,454,371,446.98795180722885,3,4,5
440999,sapling,83,337,254,306.0240963855422,2,2,4
441931,sapling,83,229,146,175.9036144578313,1,1,2
443732,sapling,83,374,291,350.6024096385542,2,2,5
445181,sapling,83,3329,3246,3910.843373493976,6,71,10
445600,sapling,246,7227,6981,2837.8048780487807,6,165,6
446646,sapling,83,229,146,175.9036144578313,1,1,2
449971,sapling,83,654,571,687.9518072289156,3,9,5
450136,sapling,608,2321,1713,281.7434210526316,12,27,17
450471,sapling,83,417,334,402.4096385542169,2,4,4
450542,sapling,970,5086,4116,424.3298969072165,25,61,48
451989,sapling,682,2058,1376,201.75953079178885,14,18,18
452222,sapling,83,305,222,267.4698795180723,2,2,3
452436,sapling,246,761,515,209.34959349593493,5,5,8
452894,sapling,83,229,146,175.9036144578313,1,1,2
453833,sapling,409,1891,1482,362.3471882640587,13,18,21
454540,sapling,83,6426,6343,7642.168674698796,3,4,185
455114,sapling,83,229,146,175.9036144578313,1,1,2
455343,sapling,246,4211,3965,1611.7886178861788,15,79,22
456793,sapling,246,432,186,75.60975609756098,2,2,2
457683,sapling,83,7068,6985,8415.66265060241,6,165,8
458295,sapling,83,667,584,703.6144578313252,4,6,9
458722,sapling,83,5907,5824,7016.8674698795185,4,137,8
459685,sapling,483,1689,1206,249.68944099378882,13,14,18
459713,sapling,83,18141,18058,21756.626506024095,15,218,274
462536,sapling,83,1248,1165,1403.6144578313254,3,23,6
462744,sapling,157,6922,6765,4308.91719745223,10,12,188
463117,sapling,83,229,146,175.9036144578313,1,1,2
465039,sapling,608,1421,813,133.7171052631579,6,15,5
465121,sapling,83,264,181,218.0722891566265,2,1,3
466838,sapling,157,1669,1512,963.0573248407643,6,30,8
466908,sapling,83,229,146,175.9036144578313,1,1,2
467128,sapling,246,2034,1788,726.829268292683,12,19,29
470464,sapling,83,2739,2656,3200.0,4,59,7
470949,sapling,83,8697,8614,10378.313253012047,11,15,240
471792,sapling,84,230,146,173.80952380952382,1,1,2
472885,sapling,247,1030,783,317.00404858299595,5,11,9
474253,sapling,84,230,146,173.80952380952382,1,1,2
